sample_index,native_mae,invariant_mae,expert_0_mae,expert_1_mae,expert_2_mae,native_argmax_mae,uniform_mae,oracle_mae,oracle_route,native_route,native_argmax_route,best_env_route,environment_gain,oracle_environment_group,route_regret,relative_route_regret,argmax_route_regret,env_use_score,correction_norm,routing_entropy,max_router_prob,valid_count,expert_selection_regret
60,9.656478435672515,130.251770376462,9.653321026361477,9.65205963313231,9.656478435672515,9.656478435672515,9.653918528417398,9.65205963313231,expert_1,2,2,1,0.925896902550842,environment_preferred,0.004418802540204325,0.00045780928715318393,0.004418802540204325,,0.7141227722167969,5.5262041470660606e-11,1.0,171,0.004418802540204325
61,10.838169030975877,126.87181332236842,10.831438744974415,10.832447431240862,10.838169030975877,10.838169030975877,10.834019354212353,10.831438744974415,expert_0,2,2,0,0.9146269099389883,environment_preferred,0.006730286001461749,0.000621365836979365,0.006730286001461749,,0.7058531045913696,5.5262041470660606e-11,1.0,171,0.006730286001461749
62,10.821653204449152,118.99913930084746,10.817065567620057,10.816992463365112,10.821653204449152,10.821653204449152,10.818569032485875,10.816992463365112,expert_1,2,2,1,0.9091002462125533,environment_preferred,0.004660741084039799,0.0004308721763304128,0.004660741084039799,,0.6799046397209167,5.5262041470660606e-11,1.0,177,0.004660741084039799
63,8.967206682477679,111.29435310782966,8.955836034083104,8.951851310310783,8.967206682477679,8.967206682477679,8.958206344436814,8.951851310310783,expert_1,2,2,1,0.9195659882075273,environment_preferred,0.015355372166895975,0.0017153292246051483,0.015355372166895975,,0.6493334770202637,5.5262041470660606e-11,1.0,182,0.015355372166895975
64,9.372178219958563,105.0912249654696,9.369136578470304,9.371457937672652,9.372178219958563,9.372178219958563,9.370830051148136,9.369136578470304,expert_0,2,2,0,0.9108475842626369,environment_preferred,0.0030416414882594722,0.0003246448018752311,0.0030416414882594722,,0.6190208792686462,5.5262041470660606e-11,1.0,181,0.0030416414882594722
65,7.101142414455308,89.31575157122904,7.088168863477653,7.101142414455308,7.0986682742667595,7.101142414455308,7.095992274790503,7.088168863477653,expert_0,1,1,0,0.9206392070963557,environment_preferred,0.012973550977654291,0.0018303106525158466,0.012973550977654291,,0.5586870312690735,5.5262041470660606e-11,1.0,179,0.012973550977654291
66,7.1944338620364015,76.05050223214286,7.192892556662088,7.1944338620364015,7.197977254678915,7.1944338620364015,7.194954337654533,7.192892556662088,expert_0,1,1,0,0.9054195258999618,environment_preferred,0.0015413053743138505,0.0002142817179837181,0.0015413053743138505,,0.4918166697025299,5.5262041470660606e-11,1.0,182,0.0015413053743138505
67,6.208639579906798,63.09108872441521,6.202017086988304,6.208639579906798,6.202505368238304,6.208639579906798,6.204100134777047,6.202017086988304,expert_0,1,1,0,0.9016974153976166,environment_preferred,0.006622492918493705,0.0010677966257764027,0.006622492918493705,,0.4277441203594208,5.5262041470660606e-11,1.0,171,0.006622492918493705
68,5.369347404711174,53.57634943181818,5.379516231652462,5.369347404711174,5.376377175071022,5.369347404711174,5.374759928385417,5.369347404711174,expert_1,1,1,1,0.8997813874656716,environment_preferred,0.0,0.0,0.0,,0.3837614357471466,5.5262041470660606e-11,1.0,165,0.0
69,5.515502161949685,47.708965949292455,5.522731948948507,5.515502161949685,5.525376421850432,5.515502161949685,5.5206836244595126,5.515502161949685,expert_1,1,1,1,0.8843927540200338,environment_preferred,0.0,0.0,0.0,,0.35475867986679077,5.5262041470660606e-11,1.0,159,0.0
