sample_index,valid_count_masked,mae_masked_full,mae_unmasked_full,mae_masked_inv_disentangle,mae_unmasked_inv_disentangle,mae_masked_inv_no_env,mae_unmasked_inv_no_env,gain_full_vs_inv_disentangle,gain_full_vs_inv_no_env,gain_inv_disentangle_vs_inv_no_env,best_model_masked,best_margin_masked
46,126,14.02558378189329,62.24869676589966,14.385909231882247,62.90886263847351,12.88203847975958,21.060482025146484,0.3603254499889559,-1.1435453021337114,-1.5038707521226673,inv_no_env,1.1435453021337114
47,123,11.9450087818673,62.36590486049652,15.019487567064239,63.04919801235199,13.14578910765609,21.034711751937866,3.0744787851969395,1.2007803257887915,-1.873698459408148,full,1.2007803257887915
48,124,13.176389478868053,62.57475031375885,15.6996962178138,63.19232540130615,14.761918821642476,21.542192487716676,2.523306738945747,1.5855293427744233,-0.9377773961713238,full,1.5855293427744233
49,128,10.851240202784538,60.919859070777896,13.450990155339241,62.677485885620115,12.790259763598442,20.995312066078185,2.5997499525547028,1.9390195608139038,-0.660730391740799,full,1.9390195608139038
50,122,11.494643727286917,60.43608521938324,11.979726760113826,62.36096178531647,13.192933989352868,21.084083046913147,0.4850830328269087,1.6982902620659512,1.2132072292390426,full,0.4850830328269087
51,125,11.803906234741211,61.288252778053284,11.485626342773438,62.29606303691864,14.604589996337891,21.49126962184906,-0.31827989196777295,2.80068376159668,3.118963653564453,inv_disentangle,0.31827989196777295
52,130,11.428016002361591,64.42139382362366,16.118895472013033,63.78467082977295,11.675050852848933,20.64524426460266,4.690879469651442,0.24703485048734208,-4.4438446191641,full,0.24703485048734208
53,133,13.213189031844749,67.63311091423034,16.223202397052507,63.46250939369202,14.760922797640463,21.64907690525055,3.010013365207758,1.547733765795714,-1.462279599412044,full,1.547733765795714
54,142,14.364776463575765,69.17291186332703,15.29906587197747,62.81230563163757,13.71668001631616,21.537987623214722,0.934289408401705,-0.648096447259606,-1.582385855661311,inv_no_env,0.648096447259606
55,149,15.93437723505417,68.76831084251404,14.781989193602696,62.36674280166626,13.79468817998899,21.767067623138427,-1.1523880414514736,-2.1396890550651797,-0.9873010136137061,inv_no_env,0.9873010136137061
56,154,15.207785903633415,65.96718519210816,16.19777050266018,62.68141643047333,17.274958895398424,23.244955878257752,0.9899845990267657,2.067172991765009,1.0771883927382433,full,0.9899845990267657
57,155,13.891475062216482,62.578633456230165,13.265563078849546,61.333686637878415,14.66796134210402,22.304084882736205,-0.6259119833669367,0.7764862798875374,1.402398263254474,inv_disentangle,0.6259119833669367
58,166,13.287923674985587,60.17788293361664,13.359850389411651,61.51654323577881,14.491337845124393,22.526798148155212,0.07192671442606446,1.2034141701388066,1.1314874557127421,full,0.07192671442606446
59,171,14.935982040494507,58.76561301231384,13.661689713684439,61.70804721355438,14.149960690771627,22.527521982192994,-1.2742923268100679,-0.7860213497228798,0.48827097708718803,inv_disentangle,0.48827097708718803
