sample_index,base_mae,full_mae,delta_base_minus_full,base_mae_masked,full_mae_masked,delta_masked_base_minus_full,metric_valid_count,env_delta_abs_mean,env_delta_signed_mean,label,label_masked
63,67.42152404785156,56.68061065673828,10.740913391113281,40.13498450969828,13.876358207614942,26.258626302083336,174,15.363641738891602,15.308990478515625,env_helps,env_helps
64,66.48141479492188,56.43798828125,10.043426513671875,35.83769586113062,12.278884030459972,23.55881183067065,178,13.361741065979004,13.321727752685547,env_helps,env_helps
65,63.98484420776367,56.47841262817383,7.506431579589844,28.600114397321427,10.6636474609375,17.936466936383926,175,10.817453384399414,10.744231224060059,env_helps,env_helps
66,63.39838409423828,57.63363265991211,5.764751434326172,24.594369631761698,10.299700463724415,14.294669168037283,171,7.92849588394165,7.8892059326171875,env_helps,env_helps
67,63.05473709106445,59.318660736083984,3.7360763549804688,19.126124252507715,9.08130184220679,10.044822410300926,162,5.589419364929199,5.5738420486450195,env_helps,env_helps
68,64.43653106689453,61.95389175415039,2.4826393127441406,15.214895307647515,8.257595654600156,6.957299653047359,161,3.319370985031128,3.318974018096924,env_helps,env_helps
69,66.92589569091797,65.48236083984375,1.4435348510742188,13.273969014485678,8.472777472601997,4.80119154188368,144,2.105623960494995,2.104804039001465,env_helps,env_helps
70,70.1363296508789,69.44949340820312,0.6868362426757812,10.11118377908303,7.217463806597856,2.893719972485174,137,1.377641201019287,1.3736295700073242,env_helps,env_helps
71,74.5300521850586,74.20965576171875,0.32039642333984375,9.008873859434637,7.189890621272662,1.8189832381619748,131,0.8932604789733887,0.8843106031417847,env_helps,env_helps
72,79.78160858154297,79.82437896728516,-0.0427703857421875,8.090710348334195,7.285274284930269,0.8054360634039259,121,0.626677393913269,0.6139000058174133,env_hurts,env_helps
73,85.09136962890625,85.19384765625,-0.10247802734375,6.9638241722470235,6.620172409784226,0.34365176246279727,105,0.3316834270954132,0.3316834270954132,env_hurts,env_helps
74,87.96858215332031,87.96858215332031,0.0,6.1537081631747155,6.1537081631747155,0.0,110,0.0,0.0,env_neutral,env_neutral
75,88.3822250366211,88.3822250366211,0.0,5.013376596811655,5.013376596811655,0.0,111,0.0,0.0,env_neutral,env_neutral
76,87.74596405029297,87.74596405029297,0.0,6.316404322574013,6.316404322574013,0.0,95,0.0,0.0,env_neutral,env_neutral
77,87.49349975585938,87.24714660644531,0.2463531494140625,14.470057407272197,13.521033741603388,0.9490236656688094,107,0.2614540755748749,0.26138222217559814,env_helps,env_helps
78,87.96734619140625,86.12764739990234,1.8396987915039062,18.80006167763158,12.061749374657346,6.738312302974233,114,2.224151849746704,2.107680320739746,env_helps,env_helps
79,92.60006713867188,85.98180389404297,6.618263244628906,37.796875,14.40101058839813,23.39586441160187,127,9.250188827514648,9.225848197937012,env_helps,env_helps
80,90.37105560302734,82.1587142944336,8.21234130859375,44.58970811631944,11.36115955171131,33.22854856460813,126,14.240904808044434,14.165624618530273,env_helps,env_helps
81,87.94685363769531,81.37116241455078,6.575691223144531,55.68889925373134,17.661836083255597,38.02706317047574,134,22.600866317749023,22.600866317749023,env_helps,env_helps
82,82.0269546508789,74.19803619384766,7.82891845703125,56.001461279653284,15.523054359603103,40.47840692005018,137,23.011022567749023,22.991518020629883,env_helps,env_helps
83,76.43362426757812,69.2895278930664,7.144096374511719,52.01581546431738,16.56947618849734,35.44633927582004,141,23.201814651489258,23.201814651489258,env_helps,env_helps
84,71.87382507324219,64.09295654296875,7.7808685302734375,47.16007545526079,13.490181682778777,33.66989377248201,139,19.916501998901367,19.914518356323242,env_helps,env_helps
85,67.89466857910156,60.2177734375,7.6768951416015625,45.9585106693097,13.80012352786847,32.15838714144123,134,17.106557846069336,17.106557846069336,env_helps,env_helps
86,64.31029510498047,56.827735900878906,7.4825592041015625,42.445528685591604,15.79723841543416,26.648290270157446,131,10.852193832397461,10.852193832397461,env_helps,env_helps
87,64.6511459350586,57.23125457763672,7.419891357421875,46.0932421875,17.24632421875,28.846917968750002,125,11.423479080200195,11.423479080200195,env_helps,env_helps
88,63.482967376708984,56.869808197021484,6.6131591796875,40.33557609498032,16.26609982468012,24.0694762703002,127,9.346290588378906,9.346290588378906,env_helps,env_helps
89,66.499267578125,58.70475769042969,7.7945098876953125,45.280012523854964,14.56485754114981,30.715154982705155,131,13.124673843383789,13.124673843383789,env_helps,env_helps
90,66.17959594726562,58.62299728393555,7.556598663330078,43.12885974702381,12.389555431547619,30.73930431547619,126,12.611115455627441,12.611115455627441,env_helps,env_helps
91,65.59616088867188,58.63143539428711,6.964725494384766,38.43918059593023,11.819330259811046,26.619850336119185,129,11.411691665649414,11.411691665649414,env_helps,env_helps
92,65.18803405761719,58.39582061767578,6.792213439941406,37.259892657520325,10.989285600863822,26.2706070566565,123,10.669342994689941,10.669342994689941,env_helps,env_helps
93,66.70465850830078,59.64432144165039,7.060337066650391,38.0725835755814,12.3640382751938,25.7085453003876,129,11.380232810974121,11.380232810974121,env_helps,env_helps
94,68.33718872070312,60.751991271972656,7.585197448730469,39.096356670673075,10.757108248197115,28.33924842247596,130,11.97765827178955,11.97765827178955,env_helps,env_helps
95,69.61531066894531,62.450931549072266,7.164379119873047,41.00912452290076,11.756863892533397,29.252260630367367,131,14.072052955627441,14.072052955627441,env_helps,env_helps
96,68.93607330322266,62.395538330078125,6.540534973144531,37.57194718070652,12.629280422044838,24.942666758661687,138,12.521646499633789,12.521646499633789,env_helps,env_helps
97,65.9569091796875,60.1585693359375,5.79833984375,30.809557365648676,8.807090065696023,22.002467299952652,132,10.547743797302246,10.547743797302246,env_helps,env_helps
98,65.8089828491211,60.578941345214844,5.23004150390625,28.66547268540112,11.021669302413713,17.643803382987407,134,8.17180061340332,8.17180061340332,env_helps,env_helps
99,66.0996322631836,60.99913024902344,5.100502014160156,29.33244921875,9.851275390625,19.481173828125,125,8.286498069763184,8.286498069763184,env_helps,env_helps
100,72.21155548095703,65.32870483398438,6.882850646972656,44.31953721374046,14.275453989742367,30.044083223998094,131,13.842144012451172,13.842144012451172,env_helps,env_helps
101,74.6047134399414,67.14173126220703,7.462982177734375,46.17608063412409,12.533531912921989,33.642548721202104,137,17.620641708374023,17.616069793701172,env_helps,env_helps
102,76.91555786132812,67.27611541748047,9.639442443847656,49.165260108741556,12.132505674619932,37.03275443412163,148,20.15184211730957,20.14084243774414,env_helps,env_helps
103,77.5405044555664,67.66781616210938,9.872688293457031,50.403436279296876,14.873823547363282,35.5296127319336,160,22.165842056274414,22.165842056274414,env_helps,env_helps
104,78.06599426269531,66.12793731689453,11.938056945800781,58.10818559695513,16.772216796875,41.33596880008013,156,23.243104934692383,23.243104934692383,env_helps,env_helps
105,75.88445281982422,64.3462142944336,11.538238525390625,57.58369641426282,18.050261668669872,39.53343474559294,156,22.948152542114258,22.948152542114258,env_helps,env_helps
