sample_index,full_mae_seed2024,inv_mae_seed2024,delta_seed2024,full_mae_seed2025,inv_mae_seed2025,delta_seed2025,full_mae_seed2026,inv_mae_seed2026,delta_seed2026,mean_full_mae,mean_inv_mae,mean_delta,full_win_count,inv_win_count,consistency_label
27,35.994693756103516,41.82610321044922,5.831409454345703,51.210060119628906,51.019317626953125,-0.19074249267578125,53.14680480957031,51.70393371582031,-1.44287109375,46.783852895100914,48.183118184407554,1.3992652893066406,1,2,Mixed
28,36.62092590332031,42.954322814941406,6.333396911621094,51.92518615722656,51.904518127441406,-0.02066802978515625,53.03569412231445,51.779579162597656,-1.2561149597167969,47.19393539428711,48.87947336832682,1.6855379740397136,1,2,Mixed
29,35.92793273925781,41.16181564331055,5.233882904052734,51.534080505371094,51.54204177856445,0.007961273193359375,51.846717834472656,50.5296630859375,-1.3170547485351562,46.43624369303385,47.7445068359375,1.3082631429036458,2,1,Mixed
30,38.387794494628906,41.38922882080078,3.001434326171875,52.703346252441406,52.811492919921875,0.10814666748046875,53.17314910888672,51.37834167480469,-1.7948074340820312,48.088096618652344,48.526354471842446,0.4382578531901042,2,1,Mixed
31,42.6634635925293,43.451717376708984,0.7882537841796875,58.97970199584961,58.333595275878906,-0.6461067199707031,60.483699798583984,58.068721771240234,-2.41497802734375,54.04228846232096,53.28467814127604,-0.7576103210449219,1,2,Mixed
32,50.091407775878906,47.283241271972656,-2.80816650390625,62.338226318359375,61.83259582519531,-0.5056304931640625,65.02159118652344,62.74766159057617,-2.2739295959472656,59.15040842692057,57.28783289591471,-1.8625755310058594,0,3,InvOnly consistently better
33,56.287147521972656,49.661224365234375,-6.625923156738281,66.93771362304688,66.10348510742188,-0.834228515625,70.1175765991211,67.56539916992188,-2.5521774291992188,64.44747924804688,61.11003621419271,-3.3374430338541665,0,3,InvOnly consistently better
34,58.51834487915039,48.466426849365234,-10.051918029785156,66.3118667602539,65.47514343261719,-0.8367233276367188,69.96357727050781,67.43013763427734,-2.5334396362304688,64.9312629699707,60.457235972086586,-4.474026997884114,0,3,InvOnly consistently better
35,59.79094696044922,48.852088928222656,-10.938858032226562,66.0970230102539,65.26534271240234,-0.8316802978515625,70.90744018554688,68.31193542480469,-2.5955047607421875,65.59847005208333,60.8097890218099,-4.7886810302734375,0,3,InvOnly consistently better
36,59.44280242919922,47.7675895690918,-11.675212860107422,63.30941390991211,62.49753952026367,-0.8118743896484375,68.74871826171875,65.97596740722656,-2.7727508544921875,63.83364486694336,58.747032165527344,-5.086612701416016,0,3,InvOnly consistently better
37,56.884002685546875,45.14507293701172,-11.738929748535156,59.38703918457031,58.82158279418945,-0.5654563903808594,64.26818084716797,61.352500915527344,-2.915679931640625,60.17974090576172,55.10638554890951,-5.073355356852214,0,3,InvOnly consistently better
38,54.24661636352539,40.87834930419922,-13.368267059326172,54.07095718383789,53.9673957824707,-0.1035614013671875,57.20254898071289,54.720130920410156,-2.4824180603027344,55.17337417602539,49.855292002360024,-5.318082173665364,0,3,InvOnly consistently better
39,52.38640594482422,39.54886245727539,-12.837543487548828,52.797542572021484,52.71672821044922,-0.08081436157226562,55.16230010986328,53.047142028808594,-2.1151580810546875,53.44874954223633,48.43757756551107,-5.011171976725261,0,3,InvOnly consistently better
40,51.116172790527344,37.941280364990234,-13.17489242553711,51.165409088134766,51.176177978515625,0.010768890380859375,52.295230865478516,50.35920715332031,-1.9360237121582031,51.525604248046875,46.49222183227539,-5.033382415771484,1,2,Mixed
41,50.446861267089844,39.18092346191406,-11.265937805175781,51.4179573059082,51.41984939575195,0.00189208984375,53.72940444946289,51.986541748046875,-1.7428627014160156,51.86474100748698,47.52910486857096,-4.335636138916016,1,2,Mixed
42,51.300987243652344,39.81188201904297,-11.489105224609375,51.903648376464844,52.09065246582031,0.18700408935546875,54.250701904296875,52.386756896972656,-1.8639450073242188,52.48511250813802,48.09643046061198,-4.388682047526042,1,2,Mixed
43,49.699459075927734,37.37291717529297,-12.326541900634766,50.21487808227539,50.38553237915039,0.170654296875,51.961124420166016,50.261348724365234,-1.6997756958007812,50.62515385945638,46.00659942626953,-4.618554433186849,1,2,Mixed
44,48.972679138183594,37.40116882324219,-11.571510314941406,50.05742263793945,50.153663635253906,0.09624099731445312,51.181331634521484,49.868106842041016,-1.3132247924804688,50.07047780354818,45.80764643351237,-4.262831370035808,1,2,Mixed
45,48.55318832397461,37.606502532958984,-10.946685791015625,50.653987884521484,50.86159133911133,0.20760345458984375,52.5798225402832,50.91246032714844,-1.6673622131347656,50.5956662495931,46.460184733072914,-4.135481516520183,1,2,Mixed
46,48.32109832763672,37.512332916259766,-10.808765411376953,50.30216979980469,50.53144836425781,0.229278564453125,52.23316955566406,50.6865119934082,-1.5466575622558594,50.28547922770182,46.243431091308594,-4.0420481363932295,1,2,Mixed
47,47.98013687133789,38.080257415771484,-9.899879455566406,50.25221633911133,50.33580017089844,0.08358383178710938,52.63595199584961,50.726661682128906,-1.9092903137207031,50.289435068766274,46.380906422932945,-3.9085286458333335,1,2,Mixed
